h3_cell,location_name,lat,lon,top_violation_details
8860144a2dfffff,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli",13.071079649999998,77.443322975,WRONG PARKING (112)
8860144a65fffff,"Mumbai Bengaluru Highway, Makali, Bengaluru",13.0655413,77.45325245,NO PARKING (113) | WRONG PARKING (112) | PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC (111)
8860144b4dfffff,"Maruti Mandir Road, MSPP Layout, Soladevanahalli",13.085203484210528,77.48646901578948,WRONG PARKING (112) | DEFECTIVE NUMBER PLATE (116)
8860144b59fffff,"Mumbai Bengaluru Highway, Makali, Bengaluru",13.0658408,77.4535494,WRONG PARKING (112) | PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC (111)
8860144b5bfffff,"Mumbai Bengaluru Highway, Alur Village, Bengaluru",13.06830972777778,77.44852538888888,WRONG PARKING (112) | NO PARKING (113)
8860145109fffff,"Vajarahalli Road, Pavamanapura, Bengaluru",12.8778133,77.517105,NO PARKING (113)
886014511dfffff,"Vajarahalli Road, Block 7, Banashankari Stage 6",12.8838377,77.5019219,WRONG PARKING (112)
8860145121fffff,"2nd Cross Road, Janakshi Layout, Rajarajeshwari Nagar",12.912261800000001,77.51371476,PARKING IN A MAIN ROAD (107) | NO PARKING (113) | WRONG PARKING (112)
8860145123fffff,"Sri Sri Sri Tiruchi Mahaswamiji Road, Subhash Chandrabose Nagar, BEML Layout Stage 5",12.909727175,77.513349575,NO PARKING (113) | WRONG PARKING (112)
8860145125fffff,"Model Road, Krishnappa Block, BEML Layout Stage 3",12.916572966666667,77.52058868888889,WRONG PARKING (112) | DOUBLE PARKING (109)
8860145127fffff,"Sri Sri Sri Tiruchi Mahaswamiji Road, Suguna Elite Avenue, Halagevaderahalli",12.919291077777778,77.51406551111111,NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8860145129fffff,"Dr Vishnuvardhan Main Road, Channasandra, Rajarajeshwari Nagar",12.9026833,77.5190814,NO PARKING (113)
886014512bfffff,"Sri Sri Sri Tiruchi Mahaswamiji Road, Srinivasapura Cross, Rajarajeshwari Nagar",12.904153025,77.51204185,NO PARKING (113)
8860145141fffff,"Vajarahalli Road, Prasad Layout, Ganigara Palya",12.876135699999999,77.53007835,WRONG PARKING (112) | PARKING IN A MAIN ROAD (107)
8860145149fffff,"Konanakunte Main Road, Thalaghattapura, Bengaluru",12.867572870454547,77.53553508636364,WRONG PARKING (112) | PARKING IN A MAIN ROAD (107) | NO PARKING (113)
886014514dfffff,"Konanakunte Main Road, Paramount Gardens, Jyotipuram",12.872542975308644,77.53945587283951,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8860145165fffff,"Dr Vishnuvardhan Main Road, Uttarahalli Circle, Uttarahalli",12.906108746298276,77.54198400888892,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8860145167fffff,"Dr Vishnuvardhan Main Road, Kodipur, Bengaluru",12.906270738100242,77.5326373533,WRONG PARKING (112) | PARKING IN A MAIN ROAD (107)
8860145169fffff,"3rd Main Road, Pride Spring Field Apartment, Subramanyapura",12.8898434,77.53788069999999,WRONG PARKING (112) | NO PARKING (113)
8860145185fffff,"Challagatta Main Road, Chalaghatta, Bengaluru",12.8963282,77.4548149,WRONG PARKING (112)
8860145187fffff,"Challagatta Main Road, Chalaghatta, Bengaluru",12.896729933333333,77.45337496666667,WRONG PARKING (112)
88601451bdfffff,"Challagatta Main Road, Sector N, Block 5",12.9035725,77.4498397,WRONG PARKING (112)
88601451d7fffff,"Kumbalgodu Flyover, Serenade Layout, Kumbalagodu",12.87840735,77.4453044,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
88601451e3fffff,"Mysore Road, Vaishnavi Layout, Venkatapura South Taluka",12.9012126,77.4673818,PARKING IN A MAIN ROAD (107) | NO PARKING (113) | WRONG PARKING (112)
88601451e5fffff,"Doddabele Road, Suvrith Sadan, Kengeri Satellite Town",12.90589455,77.47567065000001,PARKING IN A MAIN ROAD (107) | NO PARKING (113) | WRONG PARKING (112)
88601451e7fffff,"Mysore Road, Vaishnavi Layout, Venkatapura South Taluka",12.9014644,77.4675259,WRONG PARKING (112)
8860145335fffff,"Konanakunte Main Road, SS Vrudhi, VISL Layout",12.861890742857145,77.5299637015873,NO PARKING (113) | WRONG PARKING (112) | PARKING IN A MAIN ROAD (107)
8860145803fffff,"Magadi Main Road, Sunkadakatte, Bengaluru",12.990280067692307,77.5052420523077,WRONG PARKING (112) | NO PARKING (113) | PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC (111)
8860145809fffff,"Dr Rajkumar Puniya Bhoomi Road, Sumnahalli Junction, Kamakshipalya",12.986936336077045,77.5194209676252,NO PARKING (113) | WRONG PARKING (112) | DEFECTIVE NUMBER PLATE (116)
886014580bfffff,"Magadi Main Road, BM Shankarappa Industrial Estate, Sunkadakatte",12.988915082666665,77.50794153466667,NO PARKING (113) | WRONG PARKING (112) | PARKING IN A MAIN ROAD (107)
