vehicle_number,vehicle_type,violation_count,last_seen,most_common_area,most_common_violations
FKN00GL4424,SCOOTER,47,2024-03-30 06:21:46+00:00,"Sahakar Nagar Road, Fortune Acacia, Byatarayanapura",WRONG PARKING | NO PARKING | DEFECTIVE NUMBER PLATE
FKN00GL9771,CAR,34,2024-04-04 19:45:46+00:00,"Vajreshwari Road, R Subanna Circle, Gandhi Nagar",NO PARKING | WRONG PARKING
FKN00GL17863,CAR,33,2024-03-08 03:34:46+00:00,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar",NO PARKING | WRONG PARKING | PARKING IN A MAIN ROAD
FKN00GL14092,SCOOTER,29,2024-02-23 23:17:46+00:00,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli",NO PARKING | DEFECTIVE NUMBER PLATE | WRONG PARKING
FKN00GL19337,SCOOTER,29,2024-04-06 01:44:46+00:00,"Mariamma Lane, Tasker Town, Shivaji Nagar",NO PARKING | WRONG PARKING
FKN00GL15265,MOTOR CYCLE,28,2024-04-04 21:37:46+00:00,"6th Main Road, RK Puram, Gandhi Nagar",NO PARKING | WRONG PARKING
FKN00GL1875,MOTOR CYCLE,27,2024-03-15 05:24:46+00:00,"Main Guard Cross Road, Tasker Town, Shivaji Nagar",NO PARKING | WRONG PARKING
FKN00GL2906,CAR,26,2024-03-27 23:32:46+00:00,"Chord Road, Shivanahalli Junction, Rajaji Nagar",WRONG PARKING | PARKING IN A MAIN ROAD | NO PARKING
FKN00GL3514,PASSENGER AUTO,25,2024-03-14 09:47:46+00:00,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens",WRONG PARKING | NO PARKING | REFUSE TO GO FOR HIRE
FKN00GL20818,SCOOTER,25,2024-04-03 01:25:46+00:00,"6th Main Road, RK Puram, Gandhi Nagar",NO PARKING
FKN00GL24601,MOTOR CYCLE,25,2024-04-08 01:46:46+00:00,"6th Main Road, RK Puram, Gandhi Nagar",NO PARKING | WRONG PARKING | DEFECTIVE NUMBER PLATE
FKN00GL8041,SCOOTER,25,2024-03-19 01:31:46+00:00,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura",WRONG PARKING | NO PARKING
FKN00GL1118,CAR,25,2024-03-29 01:35:46+00:00,"19th Main Road, Ketamaranahalli, Block 1",NO PARKING | WRONG PARKING
FKN00GL8564,SCOOTER,23,2024-04-01 05:49:46+00:00,"Main Guard Cross Road, Tasker Town, Shivaji Nagar",NO PARKING | WRONG PARKING
FKN00GL1175,CAR,23,2024-04-06 06:09:46+00:00,"Vajreshwari Road, Railway Officers Enclave, Gandhi Nagar",NO PARKING | WRONG PARKING | PARKING ON FOOTPATH
FKN00GL2819,SCOOTER,23,2024-02-26 22:34:46+00:00,"Cunningham Road, Coffee Board Junction, Vasant Nagar",NO PARKING
FKN00GL7963,SCOOTER,22,2024-03-22 05:47:46+00:00,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura",WRONG PARKING | NO PARKING | PARKING ON FOOTPATH
FKN00GL8361,SCOOTER,22,2024-03-25 06:17:46+00:00,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar",NO PARKING | WRONG PARKING
FKN00GL25480,SCOOTER,22,2024-04-06 04:11:46+00:00,"3rd Cross Road, RK Puram, Gandhi Nagar",NO PARKING | PARKING ON FOOTPATH
FKN00GL18629,SCOOTER,22,2024-04-08 02:58:46+00:00,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura",WRONG PARKING | DEFECTIVE NUMBER PLATE | NO PARKING
FKN00GL1498,MOTOR CYCLE,22,2024-04-06 03:20:46+00:00,"Bhadrappa Flyover, Nagashetty Halli, RMV Stage 2",NO PARKING | DEFECTIVE NUMBER PLATE | WRONG PARKING
FKN00GL0420,SCOOTER,21,2024-03-24 03:20:46+00:00,"Chord Road, Manuvana, Vijaya Nagar",NO PARKING | WRONG PARKING | DEFECTIVE NUMBER PLATE
FKN00GL9334,SCOOTER,21,2024-03-27 04:17:46+00:00,"Cunningham Road, Mantri Altiue Apartment, Shivaji Nagar",NO PARKING | WRONG PARKING
FKN00GL0395,SCOOTER,21,2024-04-03 03:38:46+00:00,"3rd Cross Road, Kempegowda Extension, Chickpete",NO PARKING | WRONG PARKING
FKN00GL6310,MOTOR CYCLE,21,2024-04-04 04:02:46+00:00,"Main Guard Cross Road, Tasker Town, Shivaji Nagar",NO PARKING | WRONG PARKING | DEFECTIVE NUMBER PLATE
FKN00GL8015,MOTOR CYCLE,21,2024-03-30 06:18:46+00:00,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura",WRONG PARKING | NO PARKING
FKN00GL18794,CAR,21,2024-03-29 22:29:46+00:00,"Y Ramachandra Road, Sri Kanakadasa Circle, Gandhi Nagar",NO PARKING | WRONG PARKING
FKN00GL7910,SCOOTER,21,2024-03-11 22:29:46+00:00,"3rd Cross Road, Kempegowda Extension, Chickpete",NO PARKING | WRONG PARKING
